date,open,high,low,close,adj close,volume,rsi,ma
2023-01-26,159.970001,161.419998,154.759995,160.270004,160.270004,234815100,89.79754379769608,129.41357092857146,
2023-01-27,162.429993,180.679993,161.169998,177.899994,177.899994,306590600,91.75682380216385,130.46724093103452,
2023-01-30,178.050003,179.770004,166.5,166.660004,166.660004,230878800,78.53231844701067,131.53266600000003,
2023-01-31,164.570007,174.300003,162.779999,173.220001,173.220001,196813500,80.95889409575032,133.03322525806456,
2023-02-01,173.889999,183.809998,169.929993,181.410004,181.410004,213806300,81.75270652930014,134.01874968750005,
2023-02-02,187.330002,196.75,182.610001,188.270004,188.270004,217448300,82.96485546325873,135.2269693636364,
2023-02-03,183.949997,199.0,183.690002,189.979996,189.979996,232662000,84.23505684722069,136.75941150000003,
2023-02-06,193.009995,198.169998,189.919998,194.759995,194.759995,186188100,83.51520326563463,138.10771394285717,
2023-02-07,196.429993,197.5,189.550003,196.809998,196.809998,186010300,86.29041544348547,139.63277730555558,
2023-02-08,196.100006,203.0,194.309998,201.289993,201.289993,180673600,88.36439657463679,141.1678371891892,
2023-02-09,207.779999,214.0,204.770004,207.320007,207.320007,215431400,88.33783846976783,142.6134205789474,
2023-02-10,202.229996,206.199997,192.889999,196.889999,196.889999,204754100,77.53938731029162,144.2843584871795,
2023-02-13,194.419998,196.300003,187.610001,194.639999,194.639999,172475500,75.73790549702426,145.73299942500003,
2023-02-14,191.940002,209.820007,189.440002,209.25,209.25,216455700,78.76797677699332,146.92048719512198,
2023-02-15,211.759995,214.660004,206.110001,214.240005,214.240005,181006400,76.50525615868547,147.99238040476195,
2023-02-16,210.779999,217.649994,201.839996,202.039993,202.039993,229586500,62.52334210475722,149.47534818604655,
2023-02-17,199.990005,208.440002,197.5,208.309998,208.309998,213738500,72.78195958224893,150.8686357045455,
2023-02-21,204.990005,209.710007,197.220001,197.369995,197.369995,180018600,62.605691572944316,151.96022168888894,
2023-02-22,197.929993,201.990005,191.779999,200.860001,200.860001,191828500,60.67624756747563,153.11304306521743,
2023-02-23,203.910004,205.139999,196.330002,202.070007,202.070007,146360000,58.075839820737926,154.0665951914894,
2023-02-24,196.330002,197.669998,192.800003,196.880005,196.880005,142228100,53.87989452413657,155.1049995416667,
2023-02-27,202.029999,209.419998,201.259995,207.630005,207.630005,161028300,56.781537497183585,155.946326122449,
2023-02-28,210.589996,211.229996,203.75,205.710007,205.710007,153144900,54.696076316122856,156.86799958000003,
2023-03-01,206.210007,207.199997,198.520004,202.770004,202.770004,156852800,50.7938264319774,157.8947995,
2023-03-02,186.740005,193.75,186.009995,190.899994,190.899994,181500700,41.712092055184414,158.9501996,
2023-03-03,194.800003,200.479996,192.880005,197.789993,197.789993,154193300,50.471102140335994,159.49219972,
2023-03-06,198.539993,198.600006,192.300003,193.809998,193.809998,128100100,49.57326446481337,160.30819978,
2023-03-07,191.380005,194.199997,186.100006,187.710007,187.710007,148125800,37.86342996145991,161.35799957999998,
2023-03-08,185.039993,186.5,180.0,182.0,182.0,151897800,31.98077818814228,162.39879976,
2023-03-09,180.25,185.179993,172.509995,172.919998,172.919998,170023800,33.13644550979815,163.37959962000002,
2023-03-10,175.130005,178.289993,168.440002,173.440002,173.440002,191488900,28.365811670044636,164.45719956000002,
2023-03-13,167.460007,177.350006,163.910004,174.479996,174.479996,167790300,33.80959577361541,165.60979966000002,
2023-03-14,177.309998,183.800003,177.139999,183.259995,183.259995,143717900,38.418002314029714,166.75199984000002,
2023-03-15,180.800003,182.339996,176.029999,180.449997,180.449997,145995600,36.065990305078884,167.89039982000003,
2023-03-16,180.369995,185.809998,178.839996,184.130005,184.130005,121136800,41.61956181206134,169.10739994,
2023-03-17,184.520004,186.220001,177.330002,180.130005,180.130005,133197100,30.16445699198421,170.34539981999998,
2023-03-20,178.080002,186.440002,176.350006,183.25,183.25,129684400,34.075435757555624,171.85359987999996,
2023-03-21,188.279999,198.0,188.039993,197.580002,197.580002,153391400,46.83188759214321,173.20499988,
2023-03-22,199.300003,200.660004,190.949997,191.149994,191.149994,150376400,50.16346279159245,174.91059986,
2023-03-23,195.259995,199.309998,188.649994,192.220001,192.220001,144193900,46.058038774516795,176.51739994000002,
2023-03-24,191.649994,192.360001,187.149994,190.410004,190.410004,116312400,47.51752818033968,178.00119984,
2023-03-27,194.419998,197.389999,189.940002,191.809998,191.809998,120851600,53.21416591074807,179.3923998,
2023-03-28,192.0,192.350006,185.429993,189.190002,189.190002,98654600,55.92354714624832,180.82959979999995,
2023-03-29,193.130005,195.289993,189.440002,193.880005,193.880005,123660000,68.61456939479844,182.33859973999995,
2023-03-30,195.580002,197.330002,194.419998,195.279999,195.279999,110252200,69.09758561538871,183.68719989999997,
2023-03-31,197.529999,207.789993,197.199997,207.460007,207.460007,170222100,74.1364217326142,184.86759997999997,
2023-04-03,199.910004,202.690002,192.199997,194.770004,194.770004,169545900,57.96760828493827,186.27299992000005,
2023-04-04,197.320007,198.740005,190.320007,192.580002,192.580002,126463800,58.469488982246716,187.69760014,
2023-04-05,190.520004,190.679993,183.759995,185.520004,185.520004,133882500,50.92678948543102,188.92660038000002,
2023-04-06,183.080002,186.389999,179.740005,185.059998,185.059998,123857900,53.44995948426209,189.87700046000006,
2023-04-10,179.940002,185.100006,176.110001,184.509995,184.509995,142154600,50.9146302379902,190.70040042000005,
2023-04-11,186.690002,189.190002,185.649994,186.789993,186.789993,115770900,40.50676951231601,191.09980044000002,
2023-04-12,190.740005,191.580002,180.309998,180.539993,180.539993,150256300,40.63548162896146,191.58500062,
2023-04-13,182.960007,186.5,180.940002,185.899994,185.899994,112933000,44.81456622179687,191.83880066,
2023-04-14,183.949997,186.279999,182.009995,185.0,185.0,96438700,45.493916375145766,192.20660066000005,
2023-04-17,186.320007,189.690002,182.690002,187.039993,187.039993,116662200,46.06889312788682,192.40780062000002,
2023-04-18,187.149994,187.690002,183.580002,184.309998,184.309998,92067000,45.98551813048761,192.38760072000005,
2023-04-19,179.100006,183.5,177.649994,180.589996,180.589996,125732700,38.88980967512838,192.45160066,
2023-04-20,166.169998,169.699997,160.559998,162.990005,162.990005,210970800,28.759376036787998,192.17340088,
2023-04-21,164.800003,166.0,161.320007,165.080002,165.080002,123539000,17.854963645849253,191.56820098,
2023-04-24,164.649994,165.649994,158.610001,162.550003,162.550003,140006600,21.108309599614458,190.94220092000003,
2023-04-25,159.820007,163.470001,158.75,160.669998,160.669998,121999300,21.226317079778326,190.07960082000002,
2023-04-26,160.289993,160.669998,153.139999,153.75,153.75,153364100,21.28004489316234,189.23140104,
